age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,previous,poutcome,y,previously_contacted,pdays_capped
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,technician,single,secondary,no,29,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,unknown,single,unknown,no,1,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
35,management,married,tertiary,no,231,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
58,retired,married,primary,no,121,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,technician,single,secondary,no,593,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,technician,married,secondary,no,6,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
58,technician,married,unknown,no,71,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,services,married,secondary,no,162,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,retired,married,primary,no,229,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,retired,married,primary,no,60,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,services,married,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
56,management,married,tertiary,no,779,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
25,services,married,secondary,no,50,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
40,retired,married,primary,no,0,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,management,single,tertiary,no,255,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
46,management,single,secondary,no,-246,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,technician,married,secondary,no,839,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
49,management,married,tertiary,no,378,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
50,management,married,secondary,no,49,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
58,retired,married,unknown,no,96,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,technician,married,secondary,no,0,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
29,management,single,tertiary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
32,management,married,tertiary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
38,management,single,tertiary,no,424,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
46,services,married,primary,no,179,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,services,married,secondary,no,790,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,management,married,tertiary,no,6530,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,retired,married,tertiary,no,100,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,technician,married,secondary,no,1205,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
31,services,married,secondary,no,25,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,management,married,secondary,no,282,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,technician,married,secondary,no,1937,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,technician,married,secondary,no,384,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,services,divorced,secondary,no,91,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
45,admin.,single,secondary,no,206,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,services,divorced,secondary,no,164,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
42,technician,single,secondary,no,690,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1,0,no_prior_campaign,1,0,872
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1,0,no_prior_campaign,1,0,872
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1,0,no_prior_campaign,1,0,872
46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
57,retired,married,secondary,no,486,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
42,management,single,secondary,no,50,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
30,technician,married,secondary,no,152,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
60,admin.,married,secondary,no,290,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
36,management,married,tertiary,no,101,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,retired,married,tertiary,no,81,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,technician,married,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
46,management,married,tertiary,no,229,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,blue-collar,married,primary,no,90,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,technician,married,tertiary,no,151,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,retired,single,secondary,no,30,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
45,management,married,tertiary,no,523,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
29,services,divorced,secondary,no,31,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
46,technician,divorced,secondary,no,79,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,retired,divorced,primary,no,81,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
